Unsaved report,,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,,
Day,Campaign, Clicks , Impressions , Cost , Avg. position , Conversions ,Search Impr. share,index
1/14/2019,Google - Generic - Corporate - Competitor,0,36,0,3,0,22.78%,284
1/14/2019,Google - Generic - In Home - Massage Memberships,0,2,0,3,0,50.00%,285
1/14/2019,Google - Generic - Geo Keywords - Massage,253,9903,242,3,5,20.44%,286
1/14/2019,Google - Generic - Corporate - Massage,29,1088,233,3,4,35.45%,287
1/14/2019,Google - Generic - Massage - SKAG - National,139,5158,140,3,2,10%,288
1/14/2019,Google - Generic - DSA,114,1134,17,3,4,10%,289
1/14/2019,Google - Generic - In Home - Competitors Reme,0,23,0,2,0,79.31%,290
1/14/2019,Google - Generic - Massage - Core - National,210,3602,492,2,5,26.00%,291
1/14/2019,Google - Generic - Massage Types,83,2484,100,2,1,32.93%,292
1/14/2019,Google - Generic - Competitors,46,2093,81,2,1,15.64%,293
1/14/2019,Google - Generic - Masseuse,14,684,38,2,0,71.62%,294
1/14/2019,Google - UAC - In Home - Android,144,5469,20,2,22,10%,295
1/14/2019,Google - Generic - Therapist - US,3,15,4,2,0,28.85%,296
1/14/2019,Google - Brand - Corporate - Brand,1,6,4,2,0,100.00%,297
1/14/2019,Google - Generic - Therapist - CA,0,3,0,1,0,60.00%,298
1/14/2019,Google - Generic - In Home - Massage Home Modifier - National,167,2300,715,1,4,76.95%,299
1/14/2019,Google - Brand - Core - SKAG,150,911,278,1,19,99.78%,300
1/14/2019,Google - Generic - Google Play - App,9,72,44,1,0,100.00%,301
1/14/2019,Google - Brand - Extra Tokens,35,303,39,1,3,34.87%,302
1/14/2019,Croud_Google_GDN_In Home_Re-marketing,18,5559,18,1,0,0,303
1/14/2019,Croud_Google_GDN_In Home_Re-engagement,1,1651,17,1,0,0,304
1/14/2019,Croud_Google_GDN_In Home_Membership Remarketing,2,3547,5,1,0,0,305
1/15/2019,Google - Generic - Geo Keywords - Massage,248,9390,254,3,3,19.70%,306
1/15/2019,Google - Generic - Corporate - Massage,28,1314,205,3,4,39.11%,307
1/15/2019,Google - Generic - Massage - SKAG - National,131,5964,132,3,1,10.03%,308
1/15/2019,Google - Generic - DSA,109,1044,22,3,1,10%,309
1/15/2019,Google - Generic - Corporate - Competitor,1,24,4,3,0,14.37%,310
1/15/2019,Google - Generic - Therapist - CA,0,20,0,2,0,52.63%,311
1/15/2019,Google - Generic - In Home - Massage Memberships,0,2,0,2,0,28.57%,312
1/15/2019,Google - Generic - In Home - Massage Home Modifier - National,199,2430,806,2,4,76.83%,313
1/15/2019,Google - Generic - Massage - Core - National,164,3672,453,2,4,26.72%,314
1/15/2019,Google - Generic - Massage Types,103,3223,158,2,0,35.60%,315
1/15/2019,Google - Generic - Competitors,43,2033,69,2,0,15.12%,316
