,# ----------------------------------------,,,,,,,,
,# www.zeel.com,,,,,,,,
,# New Custom Report,,,,,,,,
,# 20190726-20190824,,,,,,,,
,# ----------------------------------------,,,,,,,,
,,,,,,,,,
Index,Age,Affinity Category (reach),Gender,Region,Device Category,Sessions,Avg. Session Duration,Pages / Session,All 5 Flow Conversions
207,35-44,Beauty & Wellness/Beauty Mavens,female,California,desktop,409,0:03:31,5.88,19
208,25-34,Vehicles & Transportation/Auto Enthusiasts,male,New York,desktop,408,0:03:31,5.12,11
209,45-54,Lifestyles & Hobbies/Business Professionals,female,California,desktop,408,0:04:48,5.53,9
210,35-44,Lifestyles & Hobbies/Business Professionals,male,Texas,mobile,406,0:01:22,3.38,10
211,45-54,Lifestyles & Hobbies/Business Professionals,male,California,mobile,402,0:01:57,3.16,11
212,25-34,Lifestyles & Hobbies/Family-Focused,female,California,mobile,400,0:01:57,4.11,12
213,25-34,Food & Dining/Cooking Enthusiasts/Aspiring Chefs,female,New York,desktop,397,0:03:24,5.29,16
214,35-44,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,female,California,desktop,397,0:03:12,5.39,15
215,25-34,Lifestyles & Hobbies/Outdoor Enthusiasts,female,New York,desktop,396,0:03:21,5.02,12
216,25-34,Food & Dining/Cooking Enthusiasts/Aspiring Chefs,female,California,desktop,395,0:04:30,6.83,11
217,25-34,Home & Garden/Home Decor Enthusiasts,female,New York,mobile,395,0:01:22,2.97,2
218,25-34,Media & Entertainment/Movie Lovers,male,New York,mobile,395,0:02:12,3.75,9
219,25-34,News & Politics/Avid News Readers/Entertainment News Enthusiasts,female,New York,desktop,395,0:03:21,5.19,7
220,35-44,Shoppers/Value Shoppers,male,Texas,mobile,395,0:01:43,3.57,10
221,35-44,Sports & Fitness/Health & Fitness Buffs,male,California,mobile,393,0:01:22,3.39,4
222,25-34,Lifestyles & Hobbies/Business Professionals,male,California,mobile,392,0:01:55,3.75,10
223,35-44,Lifestyles & Hobbies/Family-Focused,female,Texas,mobile,392,0:02:06,3.8,7
224,25-34,Shoppers/Shopaholics,female,California,mobile,391,0:02:07,4.64,12
225,25-34,Shoppers/Shoppers by Store Type/Department Store Shoppers,female,California,mobile,391,0:01:58,4.22,12
226,35-44,Food & Dining/Foodies,female,California,mobile,391,0:02:03,4.09,17
227,35-44,Lifestyles & Hobbies/Frequently Attends Live Events,male,California,desktop,387,0:02:18,5.45,8
228,35-44,Shoppers/Luxury Shoppers,male,California,mobile,386,0:01:22,3.17,4
229,25-34,Beauty & Wellness/Beauty Mavens,female,California,mobile,385,0:01:47,4.13,9
230,35-44,Food & Dining/Foodies,male,California,desktop,385,0:02:27,5.38,8
231,25-34,Beauty & Wellness/Beauty Mavens,female,New York,mobile,384,0:01:34,3.01,3
232,25-34,Lifestyles & Hobbies/Art & Theater Aficionados,male,New York,desktop,384,0:02:51,4.77,5
233,35-44,Travel/Travel Buffs,male,California,mobile,384,0:01:38,3.63,5
234,25-34,News & Politics/Avid News Readers/Avid Political News Readers,male,California,desktop,383,0:02:35,5.18,7
235,35-44,Food & Dining/Fast Food Cravers,male,Texas,mobile,382,0:01:28,3.24,6
236,35-44,Shoppers/Value Shoppers,male,New York,mobile,382,0:01:42,3.39,15
237,25-34,Lifestyles & Hobbies/Pet Lovers,female,California,desktop,381,0:05:54,5.75,8
238,35-44,Lifestyles & Hobbies/Outdoor Enthusiasts,male,California,mobile,381,0:01:22,3.36,4
239,25-34,Home & Garden/Home Decor Enthusiasts,female,California,mobile,380,0:01:42,4.21,11
240,45-54,Sports & Fitness/Health & Fitness Buffs,female,California,desktop,380,0:05:05,5.78,8
241,35-44,Lifestyles & Hobbies/Green Living Enthusiasts,male,California,desktop,377,0:02:21,5.76,8
242,25-34,Travel/Travel Buffs/Luxury Travelers,female,New York,desktop,375,0:04:16,5.16,13
243,25-34,Shoppers/Value Shoppers,male,New York,mobile,374,0:01:50,3.61,9
244,35-44,Lifestyles & Hobbies/Art & Theater Aficionados,female,California,mobile,372,0:02:15,3.95,17
